315,125.392976,216.58.209.202,192.168.0.202,42,192.168.0.102 is at dc:85:de:91:34:93
85,47.235289,192.168.0.102,172.217.20.174,TCP,55,[TCP Keep-Alive] 55453  >  443 [ACK] Seq=1 Ack=1 Win=258 Len=1
87,48.272809,192.168.0.102,34.251.46.27,TCP,55,[TCP Keep-Alive] 55462  >  80 [ACK] Seq=0 Ack=2 Win=254 Len=1
89,48.539086,192.168.0.102,192.30.253.125,TCP,55,[TCP Keep-Alive] 54086  >  443 [ACK] Seq=35 Ack=32 Win=252 Len=1
91,49.870319,192.168.0.102,172.217.20.174,TCP,55,[TCP Keep-Alive] 55300  >  443 [ACK] Seq=1 Ack=1 Win=258 Len=1
93,49.974084,192.168.0.102,172.217.20.173,TCP,55,[TCP Keep-Alive] 55452  >  443 [ACK] Seq=1 Ack=1 Win=255 Len=1
97,55.099495,192.168.0.102,192.30.253.124,TLSv1.2,89,Application Data
99,57.260676,192.168.0.102,198.252.206.25,TCP,55,[TCP Keep-Alive] 55151  >  443 [ACK] Seq=37 Ack=59 Win=253 Len=1
101,60.479366,192.168.0.102,74.125.232.79,TCP,55,[TCP Keep-Alive] 55294  >  443 [ACK] Seq=1 Ack=1 Win=254 Len=1
104,61.664170,192.168.0.102,157.55.235.176,TCP,54,53868  >  40009 [ACK] Seq=494 Ack=9 Win=251 Len=0
106,61.756829,192.168.0.102,157.55.235.176,TCP,94,"53868  >  40009 [PSH, ACK] Seq=494 Ack=119 Win=251 Len=40"
107,61.767137,192.168.0.102,40.118.105.28,TLSv1.2,155,Application Data
109,61.878345,192.168.0.102,40.118.105.28,TCP,54,53866  >  443 [ACK] Seq=203 Ack=203 Win=257 Len=0
112,63.603323,192.168.0.102,192.30.253.125,TLSv1.2,89,Application Data
114,64.218373,192.168.0.102,64.233.161.188,TCP,55,[TCP Keep-Alive] 53934  >  5228 [ACK] Seq=1 Ack=1 Win=254 Len=1
116,64.718873,192.168.0.102,157.55.235.175,UDP,170,23310  >  40027 Len=128
118,64.806875,192.168.0.102,157.56.52.39,UDP,180,23310  >  40002 Len=138
119,64.819787,192.168.0.102,172.217.20.174,TCP,55,[TCP Keep-Alive] 55257  >  443 [ACK] Seq=1 Ack=1 Win=254 Len=1
121,65.143404,192.168.0.102,216.58.209.202,TCP,55,[TCP Keep-Alive] 55372  >  443 [ACK] Seq=1 Ack=1 Win=258 Len=1
123,65.894453,192.168.0.102,198.252.206.25,TCP,55,[TCP Keep-Alive] 55187  >  443 [ACK] Seq=37 Ack=59 Win=253 Len=1
125,66.818061,192.168.0.102,157.56.52.39,UDP,180,23310  >  40002 Len=138
127,70.095477,192.168.0.102,157.55.235.176,TCP,54,53868  >  40009 [ACK] Seq=534 Ack=123 Win=251 Len=0
129,70.188055,192.168.0.102,157.55.235.176,TCP,58,"53868  >  40009 [PSH, ACK] Seq=534 Ack=592 Win=256 Len=4"
131,70.850277,192.168.0.102,157.56.52.39,UDP,180,23310  >  40002 Len=138
133,72.995015,192.168.0.102,157.56.52.39,UDP,535,23310  >  40002 Len=493
135,74.966558,192.168.0.102,157.55.235.176,TCP,545,"53868  >  40009 [PSH, ACK] Seq=538 Ack=592 Win=256 Len=491"
138,75.118785,192.168.0.102,157.55.235.176,TCP,54,53868  >  40009 [ACK] Seq=1029 Ack=596 Win=256 Len=0
140,83.955194,192.168.0.102,157.55.235.176,TCP,54,53868  >  40009 [ACK] Seq=1029 Ack=599 Win=256 Len=0
142,84.080053,192.168.0.102,157.55.235.176,TCP,58,"53868  >  40009 [PSH, ACK] Seq=1029 Ack=609 Win=256 Len=4"
145,85.550826,192.168.0.102,34.251.46.27,TCP,54,"55462  >  80 [FIN, ACK] Seq=1 Ack=2 Win=254 Len=0"
150,85.558687,192.168.0.102,216.58.209.206,TCP,66,55463  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1
152,85.561587,192.168.0.102,216.58.209.206,TCP,66,55464  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1
154,85.562446,192.168.0.102,172.217.20.163,TCP,66,55465  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1
158,85.617519,192.168.0.102,172.217.20.163,TCP,54,55465  >  443 [ACK] Seq=1 Ack=1 Win=66048 Len=0
159,85.617634,192.168.0.102,216.58.209.206,TCP,54,55463  >  443 [ACK] Seq=1 Ack=1 Win=66048 Len=0
160,85.617672,192.168.0.102,216.58.209.206,TCP,54,55464  >  443 [ACK] Seq=1 Ack=1 Win=66048 Len=0
161,85.617957,192.168.0.102,216.58.209.206,TLSv1.2,571,Client Hello
162,85.618148,192.168.0.102,172.217.20.163,TLSv1.2,571,Client Hello
163,85.618301,192.168.0.102,216.58.209.206,TLSv1.2,258,Client Hello
167,85.660140,192.168.0.102,172.217.20.163,TLSv1.2,270,"Change Cipher Spec, Encrypted Handshake Message, Encrypted Handshake Message"
175,85.667824,192.168.0.102,216.58.209.206,TCP,54,55464  >  443 [ACK] Seq=205 Ack=4376 Win=66048 Len=0
176,85.669255,192.168.0.102,216.58.209.206,TLSv1.2,270,"Change Cipher Spec, Encrypted Handshake Message, Encrypted Handshake Message"
177,85.674899,192.168.0.102,216.58.209.206,TLSv1.2,312,"Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message, Encrypted Handshake Message"
180,85.766115,192.168.0.102,216.58.209.206,TCP,54,55464  >  443 [ACK] Seq=463 Ack=4697 Win=65792 Len=0
182,85.908537,192.168.0.102,172.217.20.163,TLSv1.2,147,Application Data
183,85.908966,192.168.0.102,172.217.20.163,TLSv1.2,447,Application Data
186,85.948226,192.168.0.102,172.217.20.163,TLSv1.2,92,Application Data
190,85.968911,192.168.0.102,172.217.20.163,TCP,54,55465  >  443 [ACK] Seq=1258 Ack=604 Win=65536 Len=0
193,85.981238,192.168.0.102,172.217.20.163,TCP,54,55465  >  443 [ACK] Seq=1258 Ack=688 Win=65536 Len=0
194,85.982200,192.168.0.102,172.217.20.163,TLSv1.2,100,Application Data
196,90.134157,192.168.0.102,216.58.209.202,TCP,55,[TCP Keep-Alive] 55450  >  443 [ACK] Seq=1 Ack=1 Win=256 Len=1
198,91.490396,192.168.0.102,199.16.156.52,TCP,55,[TCP Keep-Alive] 55424  >  443 [ACK] Seq=1 Ack=1 Win=252 Len=1
199,91.650346,199.16.156.52,192.168.0.102,TCP,68,[TCP Keep-Alive ACK] 443  >  55424 [ACK] Seq=1 Ack=2 Win=131 Len=0 SLE=1 SRE=2
200,92.290309,192.168.0.102,172.217.20.174,TCP,55,[TCP Keep-Alive] 55453  >  443 [ACK] Seq=1 Ack=1 Win=258 Len=1
202,93.863799,192.168.0.102,157.56.52.43,UDP,176,23310  >  40010 Len=134
204,94.933558,192.168.0.102,172.217.20.174,TCP,55,[TCP Keep-Alive] 55300  >  443 [ACK] Seq=1 Ack=1 Win=258 Len=1
206,95.033687,192.168.0.102,172.217.20.173,TCP,55,[TCP Keep-Alive] 55452  >  443 [ACK] Seq=1 Ack=1 Win=255 Len=1
210,95.687743,192.168.0.102,216.58.209.206,TCP,54,55464  >  443 [ACK] Seq=463 Ack=4698 Win=65792 Len=0
211,95.687867,192.168.0.102,216.58.209.206,TCP,54,55463  >  443 [ACK] Seq=734 Ack=162 Win=66048 Len=0
213,99.080739,192.168.0.102,224.0.0.252,IGMPv2,46,Membership Report group 224.0.0.252
214,100.255894,192.168.0.102,192.30.253.124,TCP,55,[TCP Keep-Alive] 55310  >  443 [ACK] Seq=36 Ack=32 Win=255 Len=1
215,100.284429,192.168.0.102,157.55.235.176,TCP,348,"53868  >  40009 [PSH, ACK] Seq=1033 Ack=609 Win=256 Len=294"
219,100.434127,192.168.0.102,157.55.235.176,TCP,54,53868  >  40009 [ACK] Seq=1327 Ack=613 Win=256 Len=0
220,100.567257,192.168.0.102,239.255.255.250,IGMPv2,46,Membership Report group 239.255.255.250
221,102.401164,192.168.0.102,198.252.206.25,TCP,55,[TCP Keep-Alive] 55151  >  443 [ACK] Seq=37 Ack=59 Win=253 Len=1
224,103.304960,192.168.0.102,5.107.19.143,UDP,68,23310  >  18989 Len=26
226,104.833056,192.168.0.102,216.58.209.202,TCP,54,"55450  >  443 [FIN, ACK] Seq=2 Ack=64 Win=256 Len=0"
228,104.848847,192.168.0.102,216.58.209.202,TCP,54,55450  >  443 [ACK] Seq=3 Ack=65 Win=256 Len=0
230,105.067174,192.168.0.102,224.0.0.251,IGMPv2,46,Membership Report group 224.0.0.251
231,105.548992,192.168.0.102,74.125.232.79,TCP,55,[TCP Keep-Alive] 55294  >  443 [ACK] Seq=1 Ack=1 Win=254 Len=1
233,105.562053,192.168.0.102,162.125.18.133,TLSv1.2,1060,Application Data
237,106.941748,192.168.0.102,172.217.20.174,TCP,54,"55453  >  443 [FIN, ACK] Seq=2 Ack=64 Win=258 Len=0"
239,106.953259,192.168.0.102,172.217.20.174,TCP,54,55453  >  443 [ACK] Seq=3 Ack=65 Win=258 Len=0
241,108.757487,192.168.0.102,192.30.253.125,TCP,55,[TCP Keep-Alive] 54086  >  443 [ACK] Seq=70 Ack=63 Win=252 Len=1
243,109.284696,192.168.0.102,64.233.161.188,TCP,55,[TCP Keep-Alive] 53934  >  5228 [ACK] Seq=1 Ack=1 Win=254 Len=1
246,109.635735,192.168.0.102,172.217.20.174,TCP,54,"55300  >  443 [FIN, ACK] Seq=2 Ack=64 Win=258 Len=0"
248,109.649789,192.168.0.102,172.217.20.174,TCP,54,55300  >  443 [ACK] Seq=3 Ack=65 Win=258 Len=0
251,109.778117,192.168.0.102,172.217.20.173,TCP,54,"55452  >  443 [FIN, ACK] Seq=2 Ack=64 Win=254 Len=0"
253,109.789652,192.168.0.102,172.217.20.173,TCP,54,55452  >  443 [ACK] Seq=3 Ack=65 Win=254 Len=0
255,109.874162,192.168.0.102,172.217.20.174,TCP,55,[TCP Keep-Alive] 55257  >  443 [ACK] Seq=1 Ack=1 Win=254 Len=1
257,110.201042,192.168.0.102,216.58.209.202,TCP,55,[TCP Keep-Alive] 55372  >  443 [ACK] Seq=1 Ack=1 Win=258 Len=1
260,110.869679,192.168.0.102,157.55.130.153,UDP,77,23310  >  40019 Len=35
262,111.021248,192.168.0.102,93.76.32.48,UDP,140,23310  >  8647 Len=98
263,111.033934,192.168.0.102,198.252.206.25,TCP,55,[TCP Keep-Alive] 55187  >  443 [ACK] Seq=37 Ack=59 Win=253 Len=1
266,111.633544,192.168.0.102,162.125.34.137,TCP,54,"55223  >  443 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
269,111.660161,192.168.0.102,162.125.32.135,TCP,66,55466  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1
271,111.879806,192.168.0.102,162.125.32.135,TCP,54,55466  >  443 [ACK] Seq=1 Ack=1 Win=66048 Len=0
272,111.880726,192.168.0.102,162.125.32.135,TLSv1.2,232,Client Hello
274,111.975366,192.168.0.102,162.125.18.133,TLSv1.2,753,Application Data
279,112.081461,192.168.0.102,162.125.32.135,TCP,54,55466  >  443 [ACK] Seq=179 Ack=4154 Win=66048 Len=0
280,112.085959,192.168.0.102,162.125.32.135,TLSv1.2,180,"Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
283,112.330396,192.168.0.102,162.125.32.135,TCP,1494,55466  >  443 [ACK] Seq=305 Ack=4412 Win=65792 Len=1440 [TCP segment of a reassembled PDU]
284,112.330409,192.168.0.102,162.125.32.135,TLSv1.2,1036,Application Data
288,112.647806,192.168.0.102,162.125.32.135,TCP,54,55466  >  443 [ACK] Seq=2727 Ack=4955 Win=65280 Len=0
289,113.033992,192.168.0.102,93.76.32.48,UDP,140,23310  >  8647 Len=98
293,115.323213,192.168.0.102,192.30.253.124,TLSv1.2,89,Application Data
295,116.767336,192.168.0.102,40.118.105.28,TLSv1.2,155,Application Data
297,116.879565,192.168.0.102,40.118.105.28,TCP,54,53866  >  443 [ACK] Seq=304 Ack=304 Win=256 Len=0
298,117.039432,192.168.0.102,93.76.32.48,UDP,140,23310  >  8647 Len=98
300,120.270551,192.168.0.102,74.125.232.79,TCP,54,"55294  >  443 [FIN, ACK] Seq=2 Ack=64 Win=254 Len=0"
302,120.292368,192.168.0.102,74.125.232.79,TCP,54,55294  >  443 [ACK] Seq=3 Ack=65 Win=254 Len=0
305,123.001986,192.168.0.102,194.44.126.86,UDP,74,23310  >  7388 Len=32
307,123.814299,192.168.0.102,192.30.253.125,TLSv1.2,89,Application Data
310,124.846497,192.168.0.102,216.58.209.202,TCP,54,"55372  >  443 [FIN, ACK] Seq=2 Ack=64 Win=258 Len=0"
312,124.860700,192.168.0.102,216.58.209.202,TCP,54,55372  >  443 [ACK] Seq=3 Ack=65 Win=258 Len=0
317,126.532352,192.168.0.102,77.120.29.11,UDP,74,23310  >  45473 Len=32
318,131.033862,192.168.0.102,172.217.20.163,TCP,55,[TCP Keep-Alive] 55465  >  443 [ACK] Seq=1303 Ack=688 Win=65536 Len=1
320,134.985270,192.168.0.102,157.55.235.176,TCP,56,"53868  >  40009 [PSH, ACK] Seq=1327 Ack=613 Win=256 Len=2"
321,134.985597,192.168.0.102,40.77.226.192,TLSv1.2,667,Application Data
323,135.118489,192.168.0.102,40.77.226.192,TCP,54,53843  >  443 [ACK] Seq=614 Ack=683 Win=254 Len=0
326,136.121804,192.168.0.102,162.125.18.133,TLSv1.2,1060,Application Data
328,136.650856,192.168.0.102,199.16.156.52,TCP,55,[TCP Keep-Alive] 55424  >  443 [ACK] Seq=1 Ack=1 Win=252 Len=1
329,136.811048,199.16.156.52,192.168.0.102,TCP,68,[TCP Keep-Alive ACK] 443  >  55424 [ACK] Seq=1 Ack=2 Win=131 Len=0 SLE=1 SRE=2
330,140.688007,192.168.0.102,216.58.209.206,TCP,55,[TCP Keep-Alive] 55463  >  443 [ACK] Seq=733 Ack=162 Win=66048 Len=1
331,140.688007,192.168.0.102,216.58.209.206,TCP,55,[TCP Keep-Alive] 55464  >  443 [ACK] Seq=462 Ack=4698 Win=65792 Len=1
335,147.550673,192.168.0.102,198.252.206.25,TCP,55,[TCP Keep-Alive] 55151  >  443 [ACK] Seq=37 Ack=59 Win=253 Len=1
337,154.356159,192.168.0.102,64.233.161.188,TCP,55,[TCP Keep-Alive] 53934  >  5228 [ACK] Seq=1 Ack=1 Win=254 Len=1
339,154.926884,192.168.0.102,172.217.20.174,TCP,55,[TCP Keep-Alive] 55257  >  443 [ACK] Seq=1 Ack=1 Win=254 Len=1
341,156.169168,192.168.0.102,198.252.206.25,TCP,55,[TCP Keep-Alive] 55187  >  443 [ACK] Seq=37 Ack=59 Win=253 Len=1
345,156.584304,192.168.0.102,172.217.20.174,TCP,66,55467  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1
347,156.639009,192.168.0.102,172.217.20.174,TCP,54,55467  >  443 [ACK] Seq=1 Ack=1 Win=66048 Len=0
348,156.639469,192.168.0.102,172.217.20.174,TLSv1.2,253,Client Hello
354,156.707551,192.168.0.102,172.217.20.174,TCP,54,55467  >  443 [ACK] Seq=200 Ack=4372 Win=66048 Len=0
355,156.709544,192.168.0.102,172.217.20.174,TLSv1.2,147,"Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
356,156.711541,192.168.0.102,172.217.20.174,TLSv1.2,147,Application Data
357,156.711888,192.168.0.102,172.217.20.174,TLSv1.2,460,Application Data
358,156.711976,192.168.0.102,172.217.20.174,TLSv1.2,673,Application Data
362,156.754118,192.168.0.102,172.217.20.174,TCP,54,55467  >  443 [ACK] Seq=1411 Ack=4725 Win=65792 Len=0
363,156.754512,192.168.0.102,172.217.20.174,TLSv1.2,92,Application Data
366,156.779734,192.168.0.102,172.217.20.174,TCP,54,55467  >  443 [ACK] Seq=1449 Ack=5329 Win=65280 Len=0
369,156.779964,192.168.0.102,172.217.20.174,TCP,54,55467  >  443 [ACK] Seq=1449 Ack=5795 Win=66048 Len=0
371,156.795322,192.168.0.102,172.217.20.174,TLSv1.2,100,Application Data
374,160.558298,192.168.0.102,192.30.253.124,TCP,55,[TCP Keep-Alive] 55310  >  443 [ACK] Seq=71 Ack=63 Win=255 Len=1
376,163.318982,192.168.0.102,157.55.130.156,UDP,80,23310  >  40012 Len=38
377,163.319149,192.168.0.102,111.221.77.146,UDP,77,23310  >  40026 Len=35
379,163.476287,192.168.0.102,157.55.56.157,UDP,176,23310  >  40016 Len=134
382,167.583758,192.168.0.102,172.217.20.174,TCP,66,55468  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1
384,167.637071,192.168.0.102,172.217.20.174,TCP,54,55468  >  443 [ACK] Seq=1 Ack=1 Win=66048 Len=0
385,167.637428,192.168.0.102,172.217.20.174,TLSv1.2,257,Client Hello
391,167.698590,192.168.0.102,172.217.20.174,TCP,54,55468  >  443 [ACK] Seq=204 Ack=4376 Win=66048 Len=0
392,167.701445,192.168.0.102,172.217.20.174,TLSv1.2,312,"Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message, Encrypted Handshake Message"
393,167.715530,192.168.0.102,172.217.20.174,TLSv1.2,147,Application Data
394,167.716032,192.168.0.102,172.217.20.174,TCP,1434,55468  >  443 [ACK] Seq=555 Ack=4376 Win=66048 Len=1380 [TCP segment of a reassembled PDU]
395,167.716039,192.168.0.102,172.217.20.174,TLSv1.2,1218,Application Data
396,167.716172,192.168.0.102,172.217.20.174,TLSv1.2,855,Application Data
399,167.754360,192.168.0.102,172.217.20.174,TCP,54,55468  >  443 [ACK] Seq=3900 Ack=4766 Win=65792 Len=0
400,167.754735,192.168.0.102,172.217.20.174,TLSv1.2,92,Application Data
406,167.783487,192.168.0.102,172.217.20.174,TCP,54,55468  >  443 [ACK] Seq=3938 Ack=5663 Win=64768 Len=0
408,167.797486,192.168.0.102,172.217.20.174,TLSv1.2,100,Application Data
411,168.116846,192.168.0.102,162.125.18.133,TLSv1.2,753,Application Data
414,168.719726,192.168.0.102,157.55.235.176,TCP,54,53868  >  40009 [ACK] Seq=1329 Ack=616 Win=256 Len=0
416,168.826060,192.168.0.102,46.35.163.217,TCP,66,55469  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1
417,168.826364,192.168.0.102,157.55.235.176,TCP,67,"53868  >  40009 [PSH, ACK] Seq=1329 Ack=631 Win=256 Len=13"
420,168.969323,192.168.0.102,192.30.253.125,TCP,55,[TCP Keep-Alive] 54086  >  443 [ACK] Seq=105 Ack=94 Win=252 Len=1
422,171.767693,192.168.0.102,40.118.105.28,TLSv1.2,155,Application Data
423,171.833712,192.168.0.102,46.35.163.217,TCP,66,[TCP Retransmission] 55469  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1
425,171.888221,192.168.0.102,40.118.105.28,TCP,54,53866  >  443 [ACK] Seq=405 Ack=405 Win=256 Len=0
428,172.634158,192.168.0.102,162.125.32.135,TCP,54,55466  >  443 [ACK] Seq=2727 Ack=4987 Win=65280 Len=0
431,175.550878,192.168.0.102,192.30.253.124,TLSv1.2,89,Application Data
433,176.086393,192.168.0.102,172.217.20.163,TCP,55,[TCP Keep-Alive] 55465  >  443 [ACK] Seq=1303 Ack=688 Win=65536 Len=1
435,177.685603,192.168.0.102,157.56.52.21,UDP,81,23310  >  40027 Len=39
436,177.833588,192.168.0.102,46.35.163.217,TCP,66,[TCP Retransmission] 55469  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1
438,181.818535,192.168.0.102,199.16.156.52,TCP,55,[TCP Keep-Alive] 55424  >  443 [ACK] Seq=1 Ack=1 Win=252 Len=1
439,181.980003,199.16.156.52,192.168.0.102,TCP,68,[TCP Keep-Alive ACK] 443  >  55424 [ACK] Seq=1 Ack=2 Win=131 Len=0 SLE=1 SRE=2
441,184.044835,192.168.0.102,192.30.253.125,TLSv1.2,89,Application Data
443,192.690791,192.168.0.102,198.252.206.25,TCP,55,[TCP Keep-Alive] 55151  >  443 [ACK] Seq=37 Ack=59 Win=253 Len=1
445,195.018506,192.168.0.102,157.55.235.176,TCP,546,"53868  >  40009 [PSH, ACK] Seq=1342 Ack=631 Win=256 Len=492"
448,195.169328,192.168.0.102,157.55.235.176,TCP,54,53868  >  40009 [ACK] Seq=1834 Ack=635 Win=256 Len=0
449,199.426364,192.168.0.102,64.233.161.188,TCP,55,[TCP Keep-Alive] 53934  >  5228 [ACK] Seq=1 Ack=1 Win=254 Len=1
451,199.979616,192.168.0.102,172.217.20.174,TCP,55,[TCP Keep-Alive] 55257  >  443 [ACK] Seq=1 Ack=1 Win=254 Len=1
453,201.318325,192.168.0.102,198.252.206.25,TCP,55,[TCP Keep-Alive] 55187  >  443 [ACK] Seq=37 Ack=59 Win=253 Len=1
455,201.865128,192.168.0.102,172.217.20.174,TCP,55,[TCP Keep-Alive] 55467  >  443 [ACK] Seq=1494 Ack=5841 Win=66048 Len=1
458,202.904011,192.168.0.102,162.125.18.133,TLSv1.2,753,Application Data
461,207.670753,192.168.0.102,157.55.235.151,UDP,172,23310  >  40012 Len=130
462,207.670968,192.168.0.102,157.55.235.166,UDP,175,23310  >  40014 Len=133
463,207.671168,192.168.0.102,157.56.52.36,UDP,77,23310  >  40033 Len=35
467,207.890653,192.168.0.102,64.4.23.165,UDP,177,23310  >  40013 Len=135
469,212.865617,192.168.0.102,172.217.20.174,TCP,55,[TCP Keep-Alive] 55468  >  443 [ACK] Seq=3983 Ack=5709 Win=64768 Len=1
472,214.702019,192.168.0.102,172.217.20.174,TCP,54,"55257  >  443 [FIN, ACK] Seq=2 Ack=64 Win=254 Len=0"
474,214.732287,192.168.0.102,172.217.20.174,TCP,54,55257  >  443 [ACK] Seq=3 Ack=65 Win=254 Len=0
476,220.703148,192.168.0.102,192.30.253.124,TCP,55,[TCP Keep-Alive] 55310  >  443 [ACK] Seq=106 Ack=94 Win=255 Len=1
478,221.139454,192.168.0.102,172.217.20.163,TCP,55,[TCP Keep-Alive] 55465  >  443 [ACK] Seq=1303 Ack=688 Win=65536 Len=1
482,223.034774,192.168.0.102,86.171.43.198,UDP,68,23310  >  19581 Len=26
483,223.035255,192.168.0.102,65.55.223.13,UDP,77,23310  >  40009 Len=35
486,225.109319,192.168.0.102,162.125.18.133,TLSv1.2,1060,Application Data
488,226.768007,192.168.0.102,40.118.105.28,TLSv1.2,155,Application Data
490,226.880208,192.168.0.102,40.118.105.28,TCP,54,53866  >  443 [ACK] Seq=506 Ack=506 Win=255 Len=0
491,226.979708,192.168.0.102,199.16.156.52,TCP,55,[TCP Keep-Alive] 55424  >  443 [ACK] Seq=1 Ack=1 Win=252 Len=1
492,227.140747,199.16.156.52,192.168.0.102,TCP,68,[TCP Keep-Alive ACK] 443  >  55424 [ACK] Seq=1 Ack=2 Win=131 Len=0 SLE=1 SRE=2
493,228.567294,192.168.0.102,224.0.0.252,IGMPv2,46,Membership Report group 224.0.0.252
494,228.567453,192.168.0.102,224.0.0.251,IGMPv2,46,Membership Report group 224.0.0.251
